bin,n_records,treated_rate,control_rate,uplift,cumulative_uplift,control_baseline,expected_successes,expected_gain,cumulative_gain,treat
0,1,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-1.0,True
1,1,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-2.0,True
2,1,0.0,1.0,-1.0,-1.0,1.0,-1.0,-6.0,-8.0,True
3,1,0.0,1.0,-1.0,-2.0,1.0,-1.0,-6.0,-14.0,True
4,1,0.0,0.0,0.0,-2.0,1.0,0.0,-1.0,-15.0,True
5,1,0.0,1.0,-1.0,-3.0,1.0,0.0,0.0,-15.0,False
6,1,0.0,0.0,0.0,-3.0,1.0,0.0,0.0,-15.0,False
7,1,0.0,1.0,-1.0,-4.0,1.0,0.0,0.0,-15.0,False
8,1,0.0,0.0,0.0,-4.0,1.0,0.0,0.0,-15.0,False
9,1,0.0,1.0,-1.0,-5.0,1.0,0.0,0.0,-15.0,False
