feature,mean_abs_shap
num__days_until_membership_expire_capped,0.3782756701933478
num__latest_is_cancel,0.23497935603525683
num__membership_active_flag,0.17812034733024273
num__auto_renew_rate,0.17193643279676118
num__days_since_last_transaction_capped,0.15885168418769482
num__days_since_last_log_capped,0.15606829133080885
num__latest_is_auto_renew,0.13562317008473965
num__amount_paid_per_txn,0.12484113817662373
num__avg_gap_from_prev_expire_to_txn,0.08730501563650106
num__latest_cancel_flag,0.07901372743790805
num__cancel_rate,0.06651835091187953
num__avg_amount_paid_capped,0.05902012512237282
num__latest_payment_method_id,0.05128983740157025
num__subscription_history_days,0.05098231477912688
num__latest_repeat_ratio,0.05052821913723905
num__avg_days_between_transactions,0.048815523390275596
num__post_expiry_renewal_count,0.04723950829783634
num__near_completion_rate_avg,0.04161066593438842
num__num_unq_avg,0.032832429183668035
num__latest_auto_renew_flag,0.03149294142426985
num__txn_count,0.030716097199696854
num__age_missing_or_invalid,0.02622242435417702
num__cancel_count,0.024865972482297247
num__repeat_ratio_avg,0.024592188468887544
num__latest_vs_avg_skip_delta,0.024543198793804677
num__latest_to_avg_songs_ratio_capped,0.021661939426318808
num__gender_male,0.019803714316455678
num__age,0.019300167986851892
num__max_songs_played_day,0.017868228712005725
num__avg_songs_per_logged_day,0.01752246080103741
