feature,mean_abs_shap
num__observed_log_span_days,1.2183777805174791
num__log_day_count,1.081509447688986
num__days_since_last_transaction_capped,1.0610995135355923
num__subscription_history_days,0.9073860799935299
num__latest_is_auto_renew,0.7338555961005685
num__latest_auto_renew_flag,0.7338555961005685
num__latest_plan_list_price,0.7182307918963949
num__latest_actual_amount_paid,0.715953672459773
num__latest_is_cancel,0.7149370162434725
num__latest_cancel_flag,0.7149370162434725
num__age_missing_or_invalid,0.6694872890811377
num__total_list_price,0.6429276606597412
num__latest_to_avg_total_secs_ratio_capped,0.5852219360786832
num__max_amount_paid,0.5735861642605097
num__latest_avg_song_secs,0.5520285106489985
num__avg_song_secs_avg,0.5105205270698729
num__latest_repeat_ratio,0.50422707378829
num__latest_vs_avg_songs_delta_capped,0.5037711996822838
num__days_since_last_log_capped,0.48939458048722373
num__avg_amount_paid_capped,0.48194837931259626
num__latest_songs_played,0.4743242619734216
num__membership_active_flag,0.4684354339162931
num__days_until_membership_expire_capped,0.4438077865181229
num__latest_secs_per_unique,0.43276331089045
num__latest_to_avg_songs_ratio_capped,0.42708678842033004
num__max_total_secs_day,0.38078041849846284
num__has_member_record,0.351915502690357
num__early_renewal_count,0.3456266480916997
num__account_age_days_capped,0.3447611743248176
num__txn_count,0.335835528910588
