feature,mean_abs_shap
num__days_until_membership_expire_capped,1.9465871
num__latest_is_cancel,1.4620199
num__days_since_last_transaction_capped,0.84779996
num__days_since_last_log_capped,0.80121034
num__auto_renew_rate,0.6395942
num__membership_active_flag,0.40870282
num__latest_is_auto_renew,0.38829434
num__avg_gap_from_prev_expire_to_txn,0.35303515
num__cancel_rate,0.2856649
num__repeat_ratio_avg,0.27154568
num__age_missing_or_invalid,0.26676232
num__latest_payment_method_id,0.26321736
num__num_unq_avg,0.2614244
num__subscription_history_days,0.22835898
num__observed_log_span_days,0.2254402
num__avg_amount_paid_capped,0.22437046
num__txn_count,0.19056948
num__amount_paid_per_txn,0.1835978
num__latest_repeat_ratio,0.1737624
num__gender_male,0.16603076
num__post_expiry_renewal_count,0.14936523
num__max_total_secs_day,0.14240065
num__max_songs_played_day,0.13926046
num__avg_songs_per_logged_day,0.13876694
num__latest_vs_avg_skip_delta,0.1366202
num__completion_rate_avg,0.10548006
num__latest_cancel_flag,0.09346172
num__completion_rate_std,0.091387905
num__age,0.087603986
num__total_secs_std,0.083637714
