number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_lambda,params_subsample,user_attrs_f1,user_attrs_pr_auc,user_attrs_roc_auc,user_attrs_threshold,state
0,0.9829787234042554,2026-03-15 14:18:05.831856,2026-03-15 14:18:06.294750,0 days 00:00:00.462894,0.9317908482794629,0.08013155244321454,1,56,791,128,0.02783373223693752,0.6139185676054963,0.8823529411764706,0.8922903485403486,0.9829787234042554,0.75,COMPLETE
1,0.9789598108747044,2026-03-15 14:18:06.295010,2026-03-15 14:18:07.078734,0 days 00:00:00.783724,0.8796138396480817,0.20843937139632956,3,80,764,98,0.11792248087796242,0.9593661006192012,0.875,0.8822916666666667,0.9789598108747044,0.26,COMPLETE
2,0.9704491725768322,2026-03-15 14:18:07.078900,2026-03-15 14:18:08.015875,0 days 00:00:00.936975,0.9476388084938854,0.06439744726509569,12,59,431,26,2.1598168814166043,0.9590790838101505,0.9090909090909091,0.9175709541062802,0.9704491725768322,0.52,COMPLETE
3,0.98274231678487,2026-03-15 14:18:08.016064,2026-03-15 14:18:09.105143,0 days 00:00:01.089079,0.9316305717121243,0.05064287155775562,10,59,424,127,0.0020604996229625387,0.6549944119530532,0.8823529411764706,0.9070324558664111,0.98274231678487,0.49,COMPLETE
4,0.9865248226950354,2026-03-15 14:18:09.105312,2026-03-15 14:18:09.428667,0 days 00:00:00.323355,0.7630860974316497,0.05933840959773791,4,60,128,81,0.20151904102184867,0.8516194554829408,0.9411764705882353,0.9344575700507904,0.9865248226950354,0.74,COMPLETE
5,0.9947990543735225,2026-03-15 14:18:09.428861,2026-03-15 14:18:09.915191,0 days 00:00:00.486330,0.6399665205617475,0.014349244533195247,2,29,563,100,0.0023924027956479643,0.7437270362539735,0.9444444444444444,0.9483457673408655,0.9947990543735225,0.67,COMPLETE
6,0.9777777777777779,2026-03-15 14:18:09.915352,2026-03-15 14:18:10.575494,0 days 00:00:00.660142,0.6860113777186763,0.1563923450284031,3,64,564,103,8.719518806013957,0.9171615494554315,0.875,0.8914084757834759,0.9777777777777779,0.66,COMPLETE
7,0.9690307328605201,2026-03-15 14:18:10.575663,2026-03-15 14:18:11.402077,0 days 00:00:00.826414,0.6519196798710857,0.1948315150361616,3,84,553,123,0.6370915336683679,0.9924521084472346,0.875,0.8588678863801413,0.9690307328605201,0.48,COMPLETE
8,0.9947990543735226,2026-03-15 14:18:11.402482,2026-03-15 14:18:11.974682,0 days 00:00:00.572200,0.9084061396089047,0.02048388181603636,9,21,208,17,0.09625729232186259,0.7731361538632854,0.918918918918919,0.9567240200173637,0.9947990543735226,0.25,COMPLETE
9,0.9853427895981087,2026-03-15 14:18:11.974873,2026-03-15 14:18:13.050370,0 days 00:00:01.075497,0.7565363605004154,0.04540514785713679,6,42,478,70,0.24964451622661868,0.9083075291638459,0.8823529411764706,0.908168901660281,0.9853427895981087,0.38,COMPLETE
10,0.9871158392434988,2026-03-15 14:18:13.050551,2026-03-15 14:18:13.602281,0 days 00:00:00.551730,0.8620797916736174,0.01049524007104723,7,10,135,23,0.015361433684827404,0.7338177773302783,0.8333333333333334,0.8396737679452938,0.9871158392434988,0.49,COMPLETE
11,0.9950354609929078,2026-03-15 14:18:13.602472,2026-03-15 14:18:14.531829,0 days 00:00:00.929357,0.6025642247310501,0.015070307987418027,-1,21,277,50,0.002810219986754972,0.7625368706819654,0.9444444444444444,0.9563576356468515,0.9950354609929078,0.42,COMPLETE
12,0.9943262411347518,2026-03-15 14:18:14.532009,2026-03-15 14:18:15.520515,0 days 00:00:00.988506,0.8260668051402301,0.02235895077787645,9,12,266,41,0.007336549737093122,0.7909394649346556,0.9142857142857143,0.9430988537606184,0.9943262411347518,0.47000000000000003,COMPLETE
13,0.9959810874704491,2026-03-15 14:18:15.520686,2026-03-15 14:18:16.369681,0 days 00:00:00.848995,0.7123517468242354,0.02197282807127241,0,27,274,48,0.027916088156681125,0.7243063173155191,0.9142857142857143,0.9544624901242549,0.9959810874704491,0.36,COMPLETE
14,0.9957446808510638,2026-03-15 14:18:16.369859,2026-03-15 14:18:17.403744,0 days 00:00:01.033885,0.6023805083999595,0.029885659009841352,-1,34,309,53,0.0011971587497428373,0.6725477620279913,0.918918918918919,0.9543935918248667,0.9957446808510638,0.12,COMPLETE
15,0.9947990543735225,2026-03-15 14:18:17.403965,2026-03-15 14:18:18.392003,0 days 00:00:00.988038,0.7122543556592684,0.03299199975811537,-1,41,333,60,0.001044213887833602,0.6924915060909946,0.918918918918919,0.9502138635072073,0.9947990543735225,0.1,COMPLETE
16,0.9947990543735225,2026-03-15 14:18:18.392172,2026-03-15 14:18:19.468310,0 days 00:00:01.076138,0.9942550020117736,0.03513591411263973,0,37,360,39,0.025642605522911994,0.6892445625850726,0.9142857142857143,0.9419624901242549,0.9947990543735225,0.09,COMPLETE
17,0.9841607565011821,2026-03-15 14:18:19.468494,2026-03-15 14:18:19.709300,0 days 00:00:00.240806,0.716795281233477,0.09609827900198603,1,100,220,61,0.009779721772208998,0.6046921496570085,0.8648648648648649,0.9110943561823273,0.9841607565011821,0.74,COMPLETE
18,0.9869976359338061,2026-03-15 14:18:19.709467,2026-03-15 14:18:20.538465,0 days 00:00:00.828998,0.6195290830222064,0.025397231812738306,5,48,362,79,0.05640441518237216,0.8350633534523261,0.8823529411764706,0.9231251353692875,0.9869976359338061,0.52,COMPLETE
19,0.9926713947990544,2026-03-15 14:18:20.538645,2026-03-15 14:18:22.361010,0 days 00:00:01.822365,0.684910002334889,0.031622055961803786,-1,31,663,38,0.00601144663464843,0.699784270187412,0.9142857142857143,0.9365821097438745,0.9926713947990544,0.05,COMPLETE
20,0.9849881796690307,2026-03-15 14:18:22.361193,2026-03-15 14:18:22.600063,0 days 00:00:00.238870,0.7705521865319495,0.016662529661088096,1,22,197,47,0.5567886959794246,0.6503118776546422,0.7727272727272727,0.8492831856676251,0.9849881796690307,0.36,COMPLETE
21,0.9936170212765958,2026-03-15 14:18:22.600268,2026-03-15 14:18:23.494067,0 days 00:00:00.893799,0.6218577467166653,0.01249770963623149,-1,21,296,54,0.0030483467398600087,0.7486870606415775,0.9444444444444444,0.9483133923084904,0.9936170212765958,0.51,COMPLETE
